file;lastEventTimestamp;lastModifiedTimestamp;fileSize;sourceHash;targetHash
test.txt;1643758520814;1643758515805;3;ca51ce1fb15acc6d69b8a5700256172fcc507e02073e6f19592e341bd6508ab8;b1125de9fc18a74c47baf577c194f24040d3f57973559045e6f348779284c962
test.txt;1643758772909;1643758767895;14;5dd5b3b6e478b8530199d8e181255e4617510fef2438f1247cb4f8aeec3fdcbd;fee6f1fe5b7b2fc995981e86bd6f8e47822e937e8e9049f4002366e0bed8fcb6
test.txt;1643758893913;1643758888637;23;de9e634f34e983c4d157d8b43366a63cf106e96e58674465aa2093ca840a3653;1f456d441b6c5fce1c042c5cdfbf0e42eb9c806477332a4c69da2c91dca83018
test.txt;1643759653292;1643759645853;24;8123bf1a0e52921a31ad62cf8149900ed313f08e35b4fe739323875be00cd5e2;f172677457ca75764d255bbf4dcdfc4b950da3f24aa674e94d1414ceac5772d5
test.txt;1643759756706;1643759749151;25;21d08dc73756a08475fd530fe25ab58c818b3e7b4f8f3eb558dc730dc6fa6408;5af038dd21f8e8074a1e80f42459e0c9576c25945d048adb3775d127bb0768fe
test.txt;1643760002061;1643759995916;24;8123bf1a0e52921a31ad62cf8149900ed313f08e35b4fe739323875be00cd5e2;15b6b4312f0a3f1700408527d51c64f8b3c0eb94bfc416bcc7df7dc26a8cb8b5
test.txt;1643760563353;1643760553967;26;0ac9576e0eb9dfda1b4738aa3ea8083ef055b4e39286eca029c07ce4669a9ac9;90b583ee1d458294941042beca3992a5e486d3ae1823660083c993045f5e6cbf
test.txt;1643760718286;1643760712334;25;21d08dc73756a08475fd530fe25ab58c818b3e7b4f8f3eb558dc730dc6fa6408;8c5075f07916724b5803f9524435c1b797ff234c7cb94f478aeb5fd8737fd59f
test.txt;1643760719176;1643760712334;25;21d08dc73756a08475fd530fe25ab58c818b3e7b4f8f3eb558dc730dc6fa6408;3d37bc81647ae87581a8263b51f9344eb401c6f3515c141c911855e028e1805a
test.txt;1643760771660;1643760764877;24;8123bf1a0e52921a31ad62cf8149900ed313f08e35b4fe739323875be00cd5e2;e516e9dcecb6df7cf4f90701f49e6c602400e46d57df2b9e4562e5372eecb52d
